Departure,Destination,Date,Departure time,Arrival time,Stops,Flightnumber,Airports,Duration,Price
brussel,ibiza,12/06/2023,09:35,17:25,1,"['LH 5625', 'LH 1820']","['Brussels Airlines', 'EW Discover']",470,124.58
brussel,ibiza,12/06/2023,06:55,14:55,1,"['LX 4545', 'LX 8266']","['Brussels Airlines', 'Edelweiss Air']",480,180.25
brussel,ibiza,12/06/2023,07:00,11:55,1,"['LH 5587', '4Y 530']","['Brussels Airlines', 'EW Discover']",295,429.67
brussel,malaga,12/06/2023,11:55,14:45,0,['SN 3735'],['Brussels Airlines'],170,145.14
brussel,malaga,12/06/2023,16:25,19:20,0,['SN 3737'],['Brussels Airlines'],175,93.14
brussel,malaga,12/06/2023,07:00,12:10,1,"['LH 5587', 'LH 1148']","['Brussels Airlines', 'Lufthansa']",310,382.67
brussel,malaga,12/06/2023,06:55,12:50,1,"['LX 4545', 'LX 2110']","['Brussels Airlines', 'Swiss International Air Lines']",355,310.25
brussel,malaga,12/06/2023,06:50,12:55,1,"['OS 8172', 'OS 385']","['Brussels Airlines', 'Austrian Airlines']",365,380.38
brussel,malaga,12/06/2023,06:55,15:10,1,"['LX 4545', 'LX 2114']","['Brussels Airlines', 'Swiss International Air Lines']",495,187.25
brussel,malaga,12/06/2023,09:35,17:50,1,"['LH 5625', 'LH 1834']","['Brussels Airlines', 'EW Discover']",495,187.58
brussel,palma-de-mallorca,12/06/2023,09:35,14:10,1,"['LH 5625', 'LH 1794']","['Brussels Airlines', 'Lufthansa']",275,307.58
brussel,palma-de-mallorca,12/06/2023,06:55,11:55,1,"['LX 4545', 'LX 2158']","['Brussels Airlines', 'Helvetic Airways']",300,307.25
brussel,palma-de-mallorca,12/06/2023,07:00,12:25,1,"['LH 5587', 'LH 4302']","['Brussels Airlines', 'EW Discover']",325,379.67
brussel,palma-de-mallorca,12/06/2023,13:45,19:55,1,"['LH 5627', 'LH 5328']","['Brussels Airlines', 'Eurowings']",370,179.58
brussel,palma-de-mallorca,12/06/2023,06:50,13:05,1,"['OS 8172', 'OS 433']","['Brussels Airlines', 'Austrian Airlines']",375,312.38
brussel,palma-de-mallorca,12/06/2023,06:55,13:20,1,"['LH 5629', 'LH 5332']","['Brussels Airlines', 'EUROWINGS EUROPE LTD FOR EUROWINGS']",385,244.58
brussel,tenerife,12/06/2023,15:00,09:50,2,"['LX 4557', 'LX 2819', 'LX 8214']","['Brussels Airlines', 'Swiss International Air Lines', 'Edelweiss Air']",1190,208.62
brussel,corfu,12/06/2023,None,None,None,None,None,None,None
brussel,heraklion,13/06/2023,09:35,17:45,1,"['LH 5625', 'LH 1758']","['Brussels Airlines', 'Lufthansa']",430,131.58
brussel,heraklion,13/06/2023,06:55,19:55,1,"['LX 4545', 'LX 8348']","['Brussels Airlines', 'Edelweiss Air']",720,221.25
brussel,heraklion,13/06/2023,19:15,08:50,1,"['LH 5589', 'LH 4420']","['Brussels Airlines', 'EW Discover']",755,174.88
brussel,heraklion,13/06/2023,19:15,08:50,1,"['LH 5589', '4Y 1204']","['Brussels Airlines', 'EW Discover']",755,174.88
brussel,rhodes,13/06/2023,06:00,10:30,0,['SN 3233'],['Brussels Airlines'],210,129.14
brussel,rhodes,13/06/2023,06:50,13:00,1,"['OS 8172', 'OS 9173']","['Brussels Airlines', 'Austrian Airlines']",310,689.38
brussel,rhodes,13/06/2023,19:15,09:05,1,"['LH 5589', 'LH 4416']","['Brussels Airlines', 'EW Discover']",770,171.88
brussel,rhodes,13/06/2023,19:15,09:05,1,"['LH 5589', '4Y 1200']","['Brussels Airlines', 'EW Discover']",770,171.88
brussel,rhodes,13/06/2023,19:00,09:05,2,"['LH 5631', 'LH 123', 'LH 4416']","['Brussels Airlines', 'Lufthansa', 'EW Discover']",785,201.32
brussel,brindisi,13/06/2023,06:55,13:55,1,"['LX 4545', 'LX 1722']","['Brussels Airlines', 'Swiss International Air Lines']",420,291.25
brussel,brindisi,13/06/2023,06:20,13:55,2,"['LX 4551', 'LX 2807', 'LX 1722']","['Brussels Airlines', 'Swiss International Air Lines']",455,355.62
brussel,brindisi,13/06/2023,19:20,13:55,2,"['LX 4563', 'LX 1722']","['Brussels Airlines', 'SWISS RAILWAYS', 'Swiss International Air Lines']",1115,413.37
brussel,brindisi,13/06/2023,19:20,13:55,2,"['LX 4563', 'LX 2805', 'LX 1722']","['Brussels Airlines', 'Swiss International Air Lines']",1115,425.66
brussel,napels,13/06/2023,07:35,09:55,0,['SN 3169'],['Brussels Airlines'],140,285.14
brussel,napels,13/06/2023,19:00,22:35,1,"['LH 5631', 'LH 1880']","['Brussels Airlines', 'Lufthansa']",215,95.58
brussel,napels,13/06/2023,19:00,22:35,1,"['SN 2647', 'SN 7181']","['Brussels Airlines', 'Lufthansa']",215,95.58
brussel,napels,13/06/2023,07:00,12:00,1,"['LH 5587', 'LH 334']","['Brussels Airlines', 'Lufthansa']",300,418.67
