airline_name,arrivalAirportKey,weekNr,countOfFlights
Tui,Malaga,37,1512
Tui,Malaga,15,310
Tui,Malaga,16,444
Tui,Malaga,18,1136
Tui,Malaga,40,512
Tui,Malaga,14,2
Tui,Kreta,21,646
Tui,Kreta,23,704
Tui,Kreta,18,304
Tui,Kreta,19,560
Tui,Kreta,20,570
Tui,Kreta,33,936
Tui,Kreta,32,936
Tui,Kreta,25,704
Tui,Kreta,34,936
Tui,Kreta,22,676
Tui,Kreta,36,864
Tui,Kreta,37,846
Tui,Kreta,28,928
Tui,Kreta,38,858
Tui,Kreta,29,936
Tui,Kreta,31,936
Tui,Kreta,35,936
Tui,Kreta,27,918
Tui,Kreta,39,846
Tui,Kreta,40,124
Tui,Kreta,26,784
Tui,Kreta,24,712
Tui,Kreta,30,936
Tui,Kreta,17,166
Tui,Kreta,16,114
Tui,Kreta,15,32
Tui,Brindisi,30,144
Tui,Brindisi,23,144
Tui,Brindisi,21,144
Tui,Brindisi,22,144
Tui,Brindisi,38,144
Tui,Brindisi,35,144
Tui,Brindisi,26,144
Tui,Brindisi,20,144
Tui,Brindisi,19,72
Tui,Brindisi,27,144
Tui,Brindisi,28,144
Tui,Brindisi,36,144
Tui,Brindisi,37,144
Tui,Brindisi,24,144
Tui,Brindisi,25,144
Tui,Brindisi,34,144
Tui,Brindisi,39,144
Tui,Brindisi,33,144
Tui,Brindisi,31,144
Tui,Brindisi,32,144
Tui,Brindisi,29,144
Tui,Palma,35,1026
Tui,Palma,34,1128
Tui,Palma,30,1128
Tui,Palma,31,1118
Tui,Palma,21,864
Tui,Palma,38,998
Tui,Palma,29,1118
Tui,Palma,23,864
Tui,Palma,26,1016
Tui,Palma,28,1116
Tui,Palma,37,990
Tui,Palma,16,198
Tui,Palma,17,346
Tui,Palma,25,864
Tui,Palma,27,1118
Tui,Palma,32,1128
Tui,Palma,39,1008
Tui,Palma,20,860
Tui,Palma,33,1128
Tui,Palma,24,864
Tui,Palma,36,1008
Tui,Palma,22,864
Tui,Palma,18,548
Tui,Palma,19,822
Tui,Palma,40,256
Tui,Palma,15,102
Tui,Palma,14,8
Tui,Rhodos,24,568
Tui,Rhodos,19,420
Tui,Rhodos,36,708
Tui,Rhodos,18,340
Tui,Rhodos,38,708
Tui,Rhodos,16,126
Tui,Rhodos,39,708
Tui,Rhodos,26,568
Tui,Rhodos,22,572
Tui,Rhodos,27,780
Tui,Rhodos,37,708
Tui,Rhodos,20,450
Tui,Rhodos,32,764
Tui,Rhodos,34,780
Tui,Rhodos,33,780
Tui,Rhodos,30,780
Tui,Rhodos,29,780
Tui,Rhodos,21,574
Tui,Rhodos,25,568
Tui,Rhodos,31,752
Tui,Rhodos,23,574
Tui,Rhodos,35,780
Tui,Rhodos,28,780
Tui,Rhodos,17,102
Tui,Rhodos,40,62
Tui,Rhodos,15,18
Tui,Corfu,25,288
Tui,Corfu,22,288
Tui,Corfu,20,288
Tui,Corfu,18,120
Tui,Corfu,24,288
Tui,Corfu,37,288
Tui,Corfu,26,288
Tui,Corfu,23,288
Tui,Corfu,31,288
Tui,Corfu,39,288
Tui,Corfu,32,288
Tui,Corfu,40,128
Tui,Corfu,28,288
Tui,Corfu,29,288
Tui,Corfu,35,288
Tui,Corfu,38,288
Tui,Corfu,30,288
Tui,Corfu,17,86
Tui,Corfu,21,288
Tui,Corfu,34,288
Tui,Corfu,33,288
Tui,Corfu,27,288
Tui,Corfu,36,288
Tui,Corfu,19,210
Tui,Corfu,16,30
Tui,Ibiza,25,572
Tui,Ibiza,19,480
Tui,Ibiza,26,572
Tui,Ibiza,27,648
Tui,Ibiza,30,648
Tui,Ibiza,20,512
Tui,Ibiza,24,572
Tui,Ibiza,21,572
Tui,Ibiza,23,572
Tui,Ibiza,28,648
Tui,Ibiza,18,340
Tui,Ibiza,35,648
Tui,Ibiza,39,576
Tui,Ibiza,33,648
Tui,Ibiza,32,648
Tui,Ibiza,29,648
Tui,Ibiza,22,572
Tui,Ibiza,38,570
Tui,Ibiza,16,130
Tui,Ibiza,17,216
Tui,Ibiza,34,648
Tui,Ibiza,37,566
Tui,Ibiza,31,648
Tui,Ibiza,36,576
Tui,Ibiza,40,192
Tui,Ibiza,15,34
Tui,Ibiza,14,2
Tui,Napels,27,144
Tui,Napels,35,144
Tui,Napels,39,144
Tui,Napels,24,144
Tui,Napels,19,72
Tui,Napels,26,144
Tui,Napels,29,144
Tui,Napels,34,144
Tui,Napels,33,144
Tui,Napels,32,144
Tui,Napels,30,144
Tui,Napels,20,144
Tui,Napels,23,144
Tui,Napels,25,144
Tui,Napels,36,144
Tui,Napels,40,64
Tui,Napels,38,144
Tui,Napels,28,144
Tui,Napels,22,144
Tui,Napels,31,144
Tui,Napels,37,144
Tui,Napels,18,56
Tui,Napels,21,144
Tui,Tenerife,25,1006
Tui,Tenerife,26,1148
Tui,Tenerife,31,1358
Tui,Tenerife,23,1006
Tui,Tenerife,33,1368
Tui,Tenerife,22,978
Tui,Tenerife,30,1368
Tui,Tenerife,39,1152
Tui,Tenerife,20,1006
Tui,Tenerife,37,1152
Tui,Tenerife,27,1348
Tui,Tenerife,29,1368
Tui,Tenerife,38,1152
Tui,Tenerife,28,1350
Tui,Tenerife,32,1368
Tui,Tenerife,34,1368
Tui,Tenerife,18,764
Tui,Tenerife,35,1296
Tui,Tenerife,17,484
Tui,Tenerife,36,1152
Tui,Tenerife,19,956
Tui,Tenerife,24,1006
Tui,Tenerife,40,448
Tui,Tenerife,16,362
Tui,Tenerife,21,1008
Tui,Tenerife,15,228
Tui,Tenerife,14,8
Tui,Palermo,22,144
Tui,Palermo,38,144
Tui,Palermo,20,144
Tui,Palermo,26,144
Tui,Palermo,23,144
Tui,Palermo,32,144
Tui,Palermo,21,144
Tui,Palermo,34,144
Tui,Palermo,19,72
Tui,Palermo,24,144
Tui,Palermo,37,144
Tui,Palermo,27,144
Tui,Palermo,31,144
Tui,Palermo,25,144
Tui,Palermo,30,144
Tui,Palermo,28,144
Tui,Palermo,33,144
Tui,Palermo,29,144
Tui,Palermo,40,64
Tui,Palermo,39,144
Tui,Palermo,18,58
Tui,Palermo,36,144
Tui,Palermo,35,144
