airline_name,arrival_airport_iata_code,weekNr,countOfFlights
Tui,14,21,864
Tui,14,38,998
Tui,14,29,1118
Tui,14,23,864
Tui,14,26,1016
Tui,14,28,1116
Tui,14,37,990
Tui,14,16,198
Tui,14,17,346
Tui,14,25,864
Tui,14,27,1118
Tui,14,32,1128
Tui,14,39,1008
Tui,14,20,860
Tui,14,33,1128
Tui,14,24,864
Tui,14,36,1008
Tui,14,22,864
Tui,14,18,548
Tui,14,19,822
Tui,14,40,256
Tui,14,15,102
Tui,14,14,8
Tui,16,24,568
Tui,16,19,420
Tui,16,36,708
Tui,16,18,340
Tui,16,38,708
Tui,16,16,126
Tui,16,39,708
Tui,16,26,568
Tui,16,22,572
Tui,16,27,780
Tui,16,37,708
Tui,16,20,450
Tui,16,32,764
Tui,16,34,780
Tui,16,33,780
Tui,16,30,780
Tui,16,29,780
Tui,16,21,574
Tui,16,25,568
Tui,16,31,752
Tui,16,23,574
Tui,16,35,780
Tui,16,28,780
Tui,16,17,102
Tui,16,40,62
Tui,16,15,18
Tui,6,25,288
Tui,6,22,288
Tui,6,20,288
Tui,6,18,120
Tui,6,24,288
Tui,6,37,288
Tui,6,26,288
Tui,6,23,288
Tui,6,31,288
Tui,6,39,288
Tui,6,32,288
Tui,6,40,128
Tui,6,28,288
Tui,6,29,288
Tui,6,35,288
Tui,6,38,288
Tui,6,30,288
Tui,6,17,86
Tui,6,21,288
Tui,6,34,288
Tui,6,33,288
Tui,6,27,288
Tui,6,36,288
Tui,6,19,210
Tui,6,16,30
Tui,10,25,572
Tui,10,19,480
Tui,10,26,572
Tui,10,27,648
Tui,10,30,648
Tui,10,20,512
Tui,10,24,572
Tui,10,21,572
Tui,10,23,572
Tui,10,28,648
Tui,10,18,340
Tui,10,35,648
Tui,10,39,576
Tui,10,33,648
Tui,10,32,648
Tui,10,29,648
Tui,10,22,572
Tui,10,38,570
Tui,10,16,130
Tui,10,17,216
Tui,10,34,648
Tui,10,37,566
Tui,10,31,648
Tui,10,36,576
Tui,10,40,192
Tui,10,15,34
Tui,10,14,2
Tui,12,27,144
Tui,12,35,144
Tui,12,39,144
Tui,12,24,144
Tui,12,19,72
Tui,12,26,144
Tui,12,29,144
Tui,12,34,144
Tui,12,33,144
Tui,12,32,144
Tui,12,30,144
Tui,12,20,144
Tui,12,23,144
Tui,12,25,144
Tui,12,36,144
Tui,12,40,64
Tui,12,38,144
Tui,12,28,144
Tui,12,22,144
Tui,12,31,144
Tui,12,37,144
Tui,12,18,56
Tui,12,21,144
Tui,17,25,1006
Tui,17,26,1148
Tui,17,31,1358
Tui,17,23,1006
Tui,17,33,1368
Tui,17,22,978
Tui,17,30,1368
Tui,17,39,1152
Tui,17,20,1006
Tui,17,37,1152
Tui,17,27,1348
Tui,17,29,1368
Tui,17,38,1152
Tui,17,28,1350
Tui,17,32,1368
Tui,17,34,1368
Tui,17,18,764
Tui,17,35,1296
Tui,17,17,484
Tui,17,36,1152
Tui,17,19,956
Tui,17,24,1006
Tui,17,40,448
Tui,17,16,362
Tui,17,21,1008
Tui,17,15,228
Tui,17,14,8
Tui,15,22,144
Tui,15,38,144
Tui,15,20,144
Tui,15,26,144
Tui,15,23,144
Tui,15,32,144
Tui,15,21,144
Tui,15,34,144
Tui,15,19,72
Tui,15,24,144
Tui,15,37,144
Tui,15,27,144
Tui,15,31,144
Tui,15,25,144
Tui,15,30,144
Tui,15,28,144
Tui,15,33,144
Tui,15,29,144
Tui,15,40,64
Tui,15,39,144
Tui,15,18,58
Tui,15,36,144
Tui,15,35,144
