Luchthaven,Bestemming,Datum,Vertrektijdstip,Aankomsttijdstip,prijs,duur,aantalStops,vrijePlaatsen,VluchtNr,Flightkey
Brussels (Charleroi),Rhodes,2023-04-12,13:10:00.000,17:45:00.000,70.05,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~04/12/2023 13:10~RHO~04/12/2023 17:45~~
Brussels (Charleroi),Naples,2023-04-12,16:35:00.000,18:50:00.000,58.14,02:15,0,5,FR 1302,FR~1302~ ~~CRL~04/12/2023 16:35~NAP~04/12/2023 18:50~~
Brussels (Charleroi),Palermo,2023-04-12,09:25:00.000,11:55:00.000,46.65,02:30,0,-1,FR 6269,FR~6269~ ~~CRL~04/12/2023 09:25~PMO~04/12/2023 11:55~~
Brussels (Charleroi),Faro,2023-04-12,12:25:00.000,14:20:00.000,66.49,02:55,0,1,FR 2941,FR~2941~ ~~CRL~04/12/2023 12:25~FAO~04/12/2023 14:20~~
Brussels (Charleroi),Faro,2023-04-12,16:20:00.000,18:15:00.000,43.19,02:55,0,-1,FR 6312,FR~6312~ ~~CRL~04/12/2023 16:20~FAO~04/12/2023 18:15~~
Brussels (Charleroi),Alicante,2023-04-12,10:00:00.000,12:25:00.000,88.74,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~04/12/2023 10:00~ALC~04/12/2023 12:25~~
Brussels (Charleroi),Alicante,2023-04-12,14:45:00.000,17:10:00.000,86.49,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~04/12/2023 14:45~ALC~04/12/2023 17:10~~
Brussels (Charleroi),Alicante,2023-04-12,21:55:00.000,00:20:00.000,65.87,02:25,0,-1,FR 6063,FR~6063~ ~~CRL~04/12/2023 21:55~ALC~04/13/2023 00:20~~
Brussels,Malaga,2023-04-12,10:05:00.000,13:00:00.000,107.59,02:55,0,-1,FR 2923,FR~2923~ ~~BRU~04/12/2023 10:05~AGP~04/12/2023 13:00~~
Brussels (Charleroi),Malaga,2023-04-12,06:45:00.000,09:30:00.000,87.99,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~04/12/2023 06:45~AGP~04/12/2023 09:30~~
Brussels (Charleroi),Naples,2023-04-13,06:25:00.000,08:40:00.000,41.99,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~04/13/2023 06:25~NAP~04/13/2023 08:40~~
Brussels (Charleroi),Faro,2023-04-13,11:25:00.000,13:20:00.000,81.39,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~04/13/2023 11:25~FAO~04/13/2023 13:20~~
Brussels (Charleroi),Alicante,2023-04-13,09:00:00.000,11:25:00.000,77.09,02:25,0,3,FR 9053,FR~9053~ ~~CRL~04/13/2023 09:00~ALC~04/13/2023 11:25~~
Brussels (Charleroi),Alicante,2023-04-13,15:05:00.000,17:30:00.000,73.24,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~04/13/2023 15:05~ALC~04/13/2023 17:30~~
Brussels (Charleroi),Ibiza,2023-04-13,10:20:00.000,12:45:00.000,16.99,02:25,0,-1,FR 6456,FR~6456~ ~~CRL~04/13/2023 10:20~IBZ~04/13/2023 12:45~~
Brussels (Charleroi),Malaga,2023-04-13,17:30:00.000,20:15:00.000,99.8,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~04/13/2023 17:30~AGP~04/13/2023 20:15~~
Brussels (Charleroi),Tenerife (South),2023-04-13,20:00:00.000,23:35:00.000,63.99,04:35,0,2,FR 563,FR~ 563~ ~~CRL~04/13/2023 20:00~TFS~04/13/2023 23:35~~
Brussels (Charleroi),Rhodes,2023-04-14,07:55:00.000,12:30:00.000,59.05,03:35,0,3,FR 8577,FR~8577~ ~~CRL~04/14/2023 07:55~RHO~04/14/2023 12:30~~
Brussels (Charleroi),Brindisi,2023-04-14,07:00:00.000,09:25:00.000,59.53,02:25,0,5,FR 7737,FR~7737~ ~~CRL~04/14/2023 07:00~BDS~04/14/2023 09:25~~
Brussels (Charleroi),Naples,2023-04-14,09:10:00.000,11:25:00.000,72.53,02:15,0,5,FR 1302,FR~1302~ ~~CRL~04/14/2023 09:10~NAP~04/14/2023 11:25~~
Brussels (Charleroi),Naples,2023-04-14,20:00:00.000,22:15:00.000,24.34,02:15,0,-1,FR 1310,FR~1310~ ~~CRL~04/14/2023 20:00~NAP~04/14/2023 22:15~~
Brussels (Charleroi),Palermo,2023-04-14,16:35:00.000,19:05:00.000,84.55,02:30,0,4,FR 6269,FR~6269~ ~~CRL~04/14/2023 16:35~PMO~04/14/2023 19:05~~
Brussels (Charleroi),Faro,2023-04-14,07:05:00.000,09:00:00.000,58.99,02:55,0,1,FR 2941,FR~2941~ ~~CRL~04/14/2023 07:05~FAO~04/14/2023 09:00~~
Brussels (Charleroi),Faro,2023-04-14,17:30:00.000,19:25:00.000,63.84,02:55,0,3,FR 6312,FR~6312~ ~~CRL~04/14/2023 17:30~FAO~04/14/2023 19:25~~
Brussels (Charleroi),Alicante,2023-04-14,09:45:00.000,12:10:00.000,128.87,02:25,0,4,FR 3534,FR~3534~ ~~CRL~04/14/2023 09:45~ALC~04/14/2023 12:10~~
